Screen ID,Address,City,"State
(CA)","County
(Optional)","Country
(US)",ZIP code,DMA,"Phone
(Optional)","Fax
(Optional)",Weekly Impression,"Longitude
(Optional)","Latitude
(Optional)",Screens,In / Out door,Venue Name,Age,Gender,Income,Ethnicity
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5950,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5951,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5952,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5953,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5954,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5955,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5956,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5957,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5958,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5959,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5960,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5961,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5962,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5963,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5964,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5964,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
5966,17030 Highway 3,Webster,TX,CA,US,77598,12,905760697,905760697,580,-95.1264,29.5466033,1,Indoor,Your Family Doctors,123,123,123,Caucasian
